Day,Old Testament,New Testament
1,"Genesis 1-3","Matthew 1"
2,"Genesis 4-6","Matthew 2"
3,"Genesis 7-9","Matthew 3"
4,"Genesis 10-12","Matthew 4"
5,"Genesis 13-15","Matthew 5"
6,"Genesis 16-18","Matthew 6"
7,"Genesis 19-21","Matthew 7"
8,"Genesis 22-24","Matthew 8"
9,"Genesis 25-27","Matthew 9"
10,"Genesis 28-30","Matthew 10"
11,"Genesis 31-33","Matthew 11"
12,"Genesis 34-36","Matthew 12"
13,"Genesis 37-39","Matthew 13"
14,"Genesis 40-42","Matthew 14"
15,"Genesis 43-45","Matthew 15"
16,"Genesis 46-48","Matthew 16"
17,"Genesis 49 - Exodus 1","Matthew 17"
18,"Exodus 2-4","Matthew 18"
19,"Exodus 5-7","Matthew 19"
20,"Exodus 8-10","Matthew 20"
21,"Exodus 11-13","Matthew 21"
22,"Exodus 14-16","Matthew 22"
23,"Exodus 17-19","Matthew 23"
24,"Exodus 20-22","Matthew 24"
25,"Exodus 23-25","Matthew 25"
26,"Exodus 26-28","Matthew 26"
27,"Exodus 29-31","Matthew 27"
28,"Exodus 32-34","Matthew 28"
29,"Exodus 35-37","Mark 1"
30,"Exodus 38-40","Mark 2"
31,"Leviticus 1-3","Mark 3"
32,"Leviticus 4-6","Mark 4"
33,"Leviticus 7-9","Mark 5"
34,"Leviticus 10-12","Mark 6"
35,"Leviticus 13-15","Mark 7"
36,"Leviticus 16-18","Mark 8"
37,"Leviticus 19-21","Mark 9"
38,"Leviticus 22-24","Mark 10"
39,"Leviticus 25-27","Mark 11"
40,"Numbers 1-3","Mark 12"
41,"Numbers 4-6","Mark 13"
42,"Numbers 7-9","Mark 14"
43,"Numbers 10-12","Mark 15"
44,"Numbers 13-15","Mark 16"
45,"Numbers 16-18","Luke 1"
46,"Numbers 19-21","Luke 2"
47,"Numbers 22-24","Luke 3"
48,"Numbers 25-27","Luke 4"
49,"Numbers 28-30","Luke 5"
50,"Numbers 31-33","Luke 6"
51,"Numbers 34-36","Luke 7"
52,"Deuteronomy 1-3","Luke 8"
53,"Deuteronomy 4-6","Luke 9"
54,"Deuteronomy 7-9","Luke 10"
55,"Deuteronomy 10-12","Luke 11"
56,"Deuteronomy 13-15","Luke 12"
57,"Deuteronomy 16-18","Luke 13"
58,"Deuteronomy 19-21","Luke 14"
59,"Deuteronomy 22-24","Luke 15"
60,"Deuteronomy 25-27","Luke 16"
61,"Deuteronomy 28-30","Luke 17"
62,"Deuteronomy 31-33","Luke 18"
63,"Deuteronomy 34 - Joshua 2","Luke 19"
64,"Joshua 3-5","Luke 20"
65,"Joshua 6-8","Luke 21"
66,"Joshua 9-11","Luke 22"
67,"Joshua 12-14","Luke 23"
68,"Joshua 15-17","Luke 24"
69,"Joshua 18-20","John 1"
70,"Joshua 21-23","John 2"
71,"Joshua 24 - Judges 2","John 3"
72,"Judges 3-5","John 4"
73,"Judges 6-8","John 5"
74,"Judges 9-11","John 6"
75,"Judges 12-14","John 7"
76,"Judges 15-17","John 8"
77,"Judges 18-20","John 9"
78,"Judges 21 - Ruth 2","John 10"
79,"Ruth 3 - 1 Samuel 1","John 11"
80,"1 Samuel 2-4","John 12"
81,"1 Samuel 5-7","John 13"
82,"1 Samuel 8-10","John 14"
83,"1 Samuel 11-13","John 15"
84,"1 Samuel 14-16","John 16"
85,"1 Samuel 17-19","John 17"
86,"1 Samuel 20-22","John 18"
87,"1 Samuel 23-25","John 19"
88,"1 Samuel 26-28","John 20"
89,"1 Samuel 29-31","John 21"
90,"2 Samuel 1-3","Acts 1"
91,"2 Samuel 4-6","Acts 2"
92,"2 Samuel 7-9","Acts 3"
93,"2 Samuel 10-12","Acts 4"
94,"2 Samuel 13-15","Acts 5"
95,"2 Samuel 16-18","Acts 6"
96,"2 Samuel 19-21","Acts 7"
97,"2 Samuel 22-24","Acts 8"
98,"1 Kings 1-3","Acts 9"
99,"1 Kings 4-6","Acts 10"
100,"1 Kings 7-9","Acts 11"
101,"1 Kings 10-12","Acts 12"
102,"1 Kings 13-15","Acts 13"
103,"1 Kings 16-18","Acts 14"
104,"1 Kings 19-21","Acts 15"
105,"1 Kings 22 - 2 Kings 2","Acts 16"
106,"2 Kings 3-5","Acts 17"
107,"2 Kings 6-8","Acts 18"
108,"2 Kings 9-11","Acts 19"
109,"2 Kings 12-14","Acts 20"
110,"2 Kings 15-17","Acts 21"
111,"2 Kings 18-20","Acts 22"
112,"2 Kings 21-23","Acts 23"
113,"2 Kings 24 - 1 Chronicles 1","Acts 24"
114,"1 Chronicles 2-4","Acts 25"
115,"1 Chronicles 5-7","Acts 26"
116,"1 Chronicles 8-10","Acts 27"
117,"1 Chronicles 11-13","Acts 28"
118,"1 Chronicles 14-16","Romans 1"
119,"1 Chronicles 17-19","Romans 2"
120,"1 Chronicles 20-22","Romans 3"
121,"1 Chronicles 23-25","Romans 4"
122,"1 Chronicles 26-28","Romans 5"
123,"1 Chronicles 29 - 2 Chronicles 2","Romans 6"
124,"2 Chronicles 3-5","Romans 7"
125,"2 Chronicles 6-8","Romans 8"
126,"2 Chronicles 9-11","Romans 9"
127,"2 Chronicles 12-14","Romans 10"
128,"2 Chronicles 15-17","Romans 11"
129,"2 Chronicles 18-20","Romans 12"
130,"2 Chronicles 21-23","Romans 13"
131,"2 Chronicles 24-26","Romans 14"
132,"2 Chronicles 27-29","Romans 15"
133,"2 Chronicles 30-32","Romans 16"
134,"2 Chronicles 33-35","1 Corinthians 1"
135,"2 Chronicles 36 - Ezra 2","1 Corinthians 2"
136,"Ezra 3-5","1 Corinthians 3"
137,"Ezra 6-8","1 Corinthians 4"
138,"Ezra 9 - Nehemiah 1","1 Corinthians 5"
139,"Nehemiah 2-4","1 Corinthians 6"
140,"Nehemiah 5-7","1 Corinthians 7"
141,"Nehemiah 8-10","1 Corinthians 8"
142,"Nehemiah 11-13","1 Corinthians 9"
143,"Esther 1-3","1 Corinthians 10"
144,"Esther 4-6","1 Corinthians 11"
145,"Esther 7-9","1 Corinthians 12"
146,"Esther 10 - Job 2","1 Corinthians 13"
147,"Job 3-5","1 Corinthians 14"
148,"Job 6-8","1 Corinthians 15"
149,"Job 9-11","1 Corinthians 16"
150,"Job 12-14","2 Corinthians 1"
151,"Job 15-17","2 Corinthians 2"
152,"Job 18-20","2 Corinthians 3"
153,"Job 21-23","2 Corinthians 4"
154,"Job 24-26","2 Corinthians 5"
155,"Job 27-29","2 Corinthians 6"
156,"Job 30-32","2 Corinthians 7"
157,"Job 33-35","2 Corinthians 8"
158,"Job 36-38","2 Corinthians 9"
159,"Job 39-41","2 Corinthians 10"
160,"Job 42 - Psalms 2","2 Corinthians 11"
161,"Psalms 3-5","2 Corinthians 12"
162,"Psalms 6-8","2 Corinthians 13"
163,"Psalms 9-11","Galatians 1"
164,"Psalms 12-14","Galatians 2"
165,"Psalms 15-17","Galatians 3"
166,"Psalms 18-20","Galatians 4"
